Habenaria pectinata
Hackelia uncinata
Hedychium gardnerianum
Helixanthera ligustrina
Helixanthera odorata
Hellenia speciosa
Hemionitis bicolor
Hemionitis tenuifolia
Hemiphragma heterophyllum
Henckelia urticifolia
Heptapleurum venulosum
Herminium edgeworthii
Herminium lanceum
Herpetospermum darjeelingense
Herpetospermum pedunculosum
Himalaiella auriculata
Himalrandia tetrasperma
Hippolytia longifolia
Homalium napaulense
Horsfieldia kingii
Hoya arnottiana
Hoya lanceolata
Hoya longifolia
Huperzia javanica
Hydrangea anomala
Hydrangea heteromalla
Hydrilla verticillata
Hydrocotyle himalaica
Hydrocotyle javanica
Hydrocotyle sibthorpioides
Hylodesmum podocarpum
Hymenidium benthamii
Hymenidium dentatum
Hymenidium hookeri
Hypericum cordifolium
Hypericum elodeoides
Hypericum oblongifolium
Hypoestes triflora
Hypotrachyna cirrhata
Hypotrachyna nepalensis
Ilex dipyrena
Impatiens bicornuta
Impatiens puberula
Impatiens scabrida
Impatiens sulcata
Impatiens urticifolia
Incarvillea arguta
Indigofera bracteata
Indigofera heterantha
Indigofera linifolia
Indigofera trifoliata
Iphigenia indica
Ipomoea himalayana
Ipomoea quamoclit
Iris clarkei
Iris goniocarpa
Isodon coetsa
Isodon lophanthoides
Isodon rugosus
Isodon ternifolius
Ixeris polycephala
Jacobaea analoga
Jacobaea nudicaulis
Jacobaea raphanifolia
Jasminum auriculatum
Juniperus squamata
Jurinea auriculata
Kadsura heteroclita
Knema tenuinervia
Koenigia polystachya
Kydia calycina
Lactuca sagittarioides
Laggera alata
Lagotis kunawurensis
Lamium album
Lamium amplexicaule
Lasia spinosa
Launaea acaulis
Launaea asplenifolia
Launaea secunda
Lecanthus peduncularis
Leea asiatica
Lemna minor
Leontopodium jacotianum
Leontopodium monocephalum
Leonurus cardiaca
Leonurus japonicus
Lepidagathis incurva
Lepisorus bicolor
Lepisorus mehrae
Leptodermis lanceolata
Leptodesmia microphylla
Leucas aspera
Leucas decemdentata
Leucas lanata
Leucas lavandulifolia
Leucosceptrum canum
Leucosyke puya
Leycesteria formosa
Ligularia amplexicaulis
Ligularia fischeri
Ligusticopsis wallichiana
Ligustrum confusum
Lilium nanum
Lilium wallichianum
Lindelofia longiflora
Lindenbergia grandiflora
Lindera pulcherrima
Lindernia procumbens
Liparis nervosa
Lithocarpus fenestratus
Litsea doshia
Litsea glutinosa
Lobelia alsinoides
Lobelia chinensis
Lobelia nummularia
Lomatogonium carinthiacum
Lonicera angustifolia
Lonicera myrtilloides
Lonicera obovata
Lonicera rupicola
Luculia gratissima
Ludwigia octovalvis
Ludwigia perennis
Lycopodium japonicum
Lygodium flexuosum
Lygodium japonicum
Lyonia villosa
Lysimachia alternifolia
Lysimachia arvensis
Macaranga denticulata
Machilus duthiei
Machilus gamblei
Machilus odoratissimus
Maclura cochinchinensis
Macropanax undulatus
Macrosolen cochinchinensis
Maesa macrophylla
Maharanga bicolor
Mahonia napaulensis
Mallotus nepalensis
Mallotus nudiflorus
Mangifera sylvatica
Marsdenia roylei
Marsdenia tinctoria
Mazus pumilus
Mazus surculosus
Meconopsis grandis
Meconopsis paniculata
Meconopsis staintonii
Megacodon stylophorus
Melanoseris macrorhiza
Melanoseris violifolia
Melastoma malabathricum
Melissa axillaris
Merrilliopanax alpinus
Micromeria biflora
Miliusa tomentosa
Miliusa velutina
Mirabilis himalaica
Momordica dioica
Morina polyphylla
Morinda angustifolia
Morus serrata
Mosla dianthera
Mucuna macrocarpa
Murdannia nudiflora
Murraya paniculata
Musa balbisiana
Mussaenda macrophylla
Mussaenda roxburghii
Myriactis nepalensis
Myrsine semiserrata
Najas graminea
Najas minor
Neanotis ingrata
Nelumbo nucifera
